511.9,60,508.7,86.8
598.8,60,461.9,50
612.7,60,432.8,37.4
612.7,163.4,374.7,50
511.9,163.4,374,67.6
508.7,86.8,344.7,40
549.5,176.5,284.1,40
624.7,74.5,263.8,39.5
254.1,50,254.1,50
254.1,98.1,254.1,98.1
195.7,98.1,268.5,110.3
195.7,111.8,270.8,143.3
146,111.8,255.2,156.3
146,50,262.5,167.3
268.5,110.3,245.5,167.3
263.8,39.5,278.1,172.8
203.1,35,245.5,141.8
410.5,309.1,277.1,199.6
410.5,382.2,284.1,225.7
264.5,382.2,284.1,245.7
264.5,309.1,262.5,230.4
257.9,364.2,308.7,236.5
321.7,307.3,344.7,225.7
418.1,296.8,382.5,232.3
166.8,446.9,405.2,245.7
166.8,494.7,411.5,231.1
111.8,494.7,405.2,275
111.8,508.6,405.1,275
50,508.6,405.1,289.1
50,446.9,418.1,296.8
173.8,446.8,425.2,288.7
136.2,511.3,410.5,309.1
58.8,517.7,430.5,308.7
174,260.4,425.2,203.4
219.4,260.4,371.9,298.7
219.4,260.5,431.7,168.8
234.5,260.5,434,156.9
234.5,389.7,431.7,153.4
174,389.7,461.9,153.4
166.8,383.6,234.5,260.5
174.2,249.3,219.4,260.5
170.5,301.7,219.4,260.4
136,141.8,218.1,242.9
245.5,141.8,284.1,289.1
245.5,167.3,264.5,309.1
262.5,167.3,321.7,307.3
262.5,230.4,174.2,249.3
136,230.4,174,260.4
270.8,143.3,170.5,301.7
255.2,156.3,134,280.2
218.1,242.9,118.1,280.2
50,280,118.1,280
118.1,280,112.8,274.9
118.1,280.2,116,250
134,280.2,136,230.4
134,406.9,139.7,334.7
50,406.9,348.5,177.6
36.3,336.2,374.7,168.8
112.8,274.9,511.9,163.4
139.7,334.7,549.5,176.5
461.9,50,548.8,197.7
461.9,153.4,203.1,35
431.7,153.4,257.9,364.2
431.7,168.8,264.5,382.2
374.7,168.8,234.5,389.7
374.7,50,297.2,409.5
432.8,37.4,317.2,419.7
374,67.6,337.2,402.2
434,156.9,196.8,419.7
405.2,245.7,182.4,451.7
405.2,275,173.8,446.8
405.1,275,166.8,446.9
405.1,289.1,174,389.7
284.1,289.1,166.8,383.6
284.1,245.7,134,406.9
308.7,236.5,166.8,494.7
371.9,298.7,196.8,507.5
382.5,232.3,136.2,511.3
40,40,111.8,508.6
102.3,40,111.8,494.7
102.3,113.6,58.8,517.7
116,113.6,50,508.6
116,250,195.7,111.8
40,250,195.7,98.1
106,43.5,146,111.8
129.7,87.7,129.7,87.7
36.7,38.6,116,113.6
317.2,419.7,102.3,113.6
317.2,507.5,136,141.8
196.8,507.5,146,50
196.8,419.7,106,43.5
297.2,409.5,102.3,40
265.4,519.2,50,446.9
182.4,451.7,50,406.9
497.2,308.7,40,40
497.2,364.3,36.7,38.6
479.2,364.3,50,280
479.2,376.3,40,250
430.5,376.3,36.3,336.2
430.5,308.7,612.7,163.4
446.6,376.4,621.5,203.4
511.3,368.1,497.2,308.7
482.2,375.3,518.2,288.7
499.9,402.2,518.2,275.5
499.9,506,539.9,328.7
337.2,506,583.8,322.4
337.2,402.2,593.4,328.7
505,469.7,593.4,365
485.8,506.9,608.8,365
502.7,439.7,611.5,293.7
539.9,328.7,621.5,275.5
593.4,328.7,511.3,368.1
593.4,365,497.2,364.3
608.8,365,479.2,364.3
608.8,474.9,482.2,375.3
539.9,474.9,479.2,376.3
583.8,322.4,525.3,386.8
525.3,386.8,499.9,402.2
617.4,458.3,446.6,376.4
284.1,40,430.5,376.3
344.7,40,410.5,382.2
344.7,225.7,502.7,439.7
284.1,225.7,505,469.7
348.5,177.6,539.9,474.9
277.1,199.6,499.9,506
278.1,172.8,485.8,506.9
621.5,203.4,608.8,474.9
621.5,275.5,617.4,458.3
518.2,275.5,265.4,519.2
518.2,288.7,317.2,507.5
425.2,288.7,337.2,506
425.2,203.4,598.8,60
611.5,293.7,612.7,60
548.8,197.7,624.7,74.5
