Start_X,Start_Y,End_X,End_Y
264.5,382.2,264.5,382.2
257.9,364.2,264.5,382.2
234.5,389.7,264.5,382.2
511.9,60,461.9,50
598.8,60,511.9,60
432.8,37.4,374.7,50
195.7,111.8,245.5,141.8
146,111.8,195.7,111.8
461.9,50,432.8,37.4
166.8,494.7,182.4,451.7
136.2,511.3,166.8,494.7
196.8,507.5,166.8,494.7
612.7,163.4,549.5,176.5
624.7,74.5,612.7,60
612.7,60,598.8,60
508.7,86.8,511.9,60
511.9,163.4,461.9,153.4
549.5,176.5,511.9,163.4
548.8,197.7,549.5,176.5
254.1,98.1,268.5,110.3
374,67.6,374.7,50
344.7,40,284.1,40
254.1,50,254.1,98.1
263.8,39.5,254.1,50
284.1,40,263.8,39.5
203.1,35,254.1,50
129.7,87.7,146,111.8
146,50,129.7,87.7
593.4,328.7,583.8,322.4
593.4,365,593.4,328.7
245.5,141.8,255.2,156.3
102.3,40,106,43.5
268.5,110.3,270.8,143.3
461.9,153.4,434,156.9
371.9,298.7,405.1,289.1
425.2,203.4,411.5,231.1
430.5,376.3,446.6,376.4
264.5,309.1,257.9,364.2
321.7,307.3,284.1,289.1
284.1,289.1,264.5,309.1
297.2,409.5,264.5,382.2
173.8,446.8,182.4,451.7
196.8,419.7,234.5,389.7
111.8,508.6,136.2,511.3
58.8,517.7,111.8,508.6
174,389.7,196.8,419.7
50,508.6,58.8,517.7
50,446.9,50,508.6
182.4,451.7,196.8,419.7
497.2,308.7,430.5,308.7
497.2,364.3,511.3,368.1
479.2,364.3,497.2,364.3
36.3,336.2,50,280
174,260.4,174.2,249.3
219.4,260.4,219.4,260.5
219.4,260.5,234.5,260.5
234.5,260.5,262.5,230.4
106,43.5,146,50
170.5,301.7,174,260.4
166.8,383.6,174,389.7
174.2,249.3,218.1,242.9
134,280.2,170.5,301.7
284.1,245.7,284.1,289.1
308.7,236.5,284.1,245.7
255.2,156.3,262.5,167.3
218.1,242.9,219.4,260.4
262.5,167.3,278.1,172.8
277.1,199.6,284.1,225.7
270.8,143.3,255.2,156.3
262.5,230.4,284.1,225.7
139.7,334.7,170.5,301.7
112.8,274.9,118.1,280
118.1,280,118.1,280.2
116,250,112.8,274.9
118.1,280.2,134,280.2
50,280,112.8,274.9
418.1,296.8,405.1,289.1
430.5,308.7,418.1,296.8
431.7,168.8,425.2,203.4
434,156.9,431.7,168.8
405.1,289.1,405.1,275
374.7,50,344.7,40
348.5,177.6,344.7,225.7
382.5,232.3,344.7,225.7
278.1,172.8,277.1,199.6
405.2,245.7,382.5,232.3
405.2,275,405.2,245.7
405.1,275,405.2,275
284.1,225.7,284.1,245.7
344.7,225.7,308.7,236.5
116,113.6,129.7,87.7
40,40,102.3,40
36.7,38.6,40,40
317.2,419.7,297.2,409.5
317.2,507.5,265.4,519.2
265.4,519.2,196.8,507.5
411.5,231.1,405.2,245.7
482.2,375.3,479.2,364.3
539.9,328.7,518.2,288.7
479.2,376.3,482.2,375.3
446.6,376.4,479.2,376.3
499.9,402.2,525.3,386.8
511.3,368.1,539.9,328.7
518.2,288.7,497.2,308.7
499.9,506,505,469.7
505,469.7,502.7,439.7
485.8,506.9,499.9,506
502.7,439.7,499.9,402.2
525.3,386.8,511.3,368.1
583.8,322.4,539.9,328.7
611.5,293.7,593.4,328.7
539.9,474.9,505,469.7
608.8,474.9,539.9,474.9
617.4,458.3,608.8,474.9
